,Unnamed: 0,type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
0,0,mbdata,20140123170000,POK,follow us @pok krono,,,
1,1,mbdata,20140123170000,maha_Homeland,do n't miss moment   follow live coverag pok ralli park,,,
2,2,mbdata,20140123170000,Viktor-E,come join us park music tonight abila citi park,,,
3,3,mbdata,20140123170000,KronosStar,pok ralli start abila citi park pok leader sylvia marek open speech � kronosstar,,,
4,4,mbdata,20140123170000,AbilaPost,pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
5,5,mbdata,20140123170000,ourcountryourrights,pok ralli park tonight pokral,,,
6,6,mbdata,20140123170000,ReggieWassali,great day ralli rememberjuliana rememberelian pok,,,
7,7,mbdata,20140123170000,MindOfKronos,ugh poker anooy pok gowaway,,,
8,8,mbdata,20140123170000,FriendsOfKronos,massiv ralli pok terrorist cop gather wait arrest,,,
9,9,ccdata,20140123170000,,keep the peac crowd control abila citi park,,,Egeou St / Parla St
10,10,mbdata,20140123170000,rockinHW,artist musician need follow click   followme.kronos/artist abila artist,,,
11,11,mbdata,20140123170000,KronosQuoth,success walk failur failur loss enthusiasm   pokral hi,,,
12,12,mbdata,20140123170000,KronosQuoth,a person never made mistak never tri anyth new   kronosstar pokral,,,
13,13,mbdata,20140123170024,KronosQuoth,the person destin becom person decid   kronosstar pokral,,,
14,14,mbdata,20140123170024,KronosQuoth,knowledg awar wisdom know   pokral hi,,,
15,15,mbdata,20140123170055,Clevvah4Evah,i want job 80 mental 30 fiscal pok ralli grammar,,,
16,16,mbdata,20140123170055,KronosQuoth,the mean life find gift the purpos life give away   pokral hi,,,
17,17,mbdata,20140123170100,rrWine,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
18,18,mbdata,20140123170119,KronosQuoth,if re go hell keep go   pokral hi,,,
19,19,mbdata,20140123170119,KronosQuoth,you miss 100 shot nt take   kronosstar pokral,,,
20,20,mbdata,20140123170119,KronosQuoth,you may succeed desir succeed may fail mind fail   pokral hi,,,
21,21,mbdata,20140123170119,KronosQuoth,i nt fail test i found 100 way wrong   kronosstar pokral,,,
22,22,mbdata,20140123170150,KronosQuoth,to accomplish great thing must act also dream plan also believ pokral hi,,,
23,23,mbdata,20140123170150,KronosQuoth,think becom capit asset matter whatev up down come across life   pokral hi,,,
24,24,mbdata,20140123170150,KronosQuoth,do n't afraid give good go great   pokral hi,,,
25,25,mbdata,20140123170200,pinky,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
26,26,mbdata,20140123170200,BlueVelvet,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
27,27,mbdata,20140123170200,dragonRider1,rt @mindofkrono ugh poker anooy pok gowaway,,,
28,28,ccdata,20140123170210,,traffic stop,,,N. Els St / N. Polvo St
29,29,mbdata,20140123170221,Clevvah4Evah,you penultim girlfriend pok ralli grammar,,,
30,30,mbdata,20140123170221,KronosQuoth,i product circumst i product decis   kronosstar pokral,,,
31,31,mbdata,20140123170221,KronosQuoth,success know purpos life grow reach maximum potenti sow seed benefit other   pokral hi,,,
32,32,mbdata,20140123170221,KronosQuoth,the person destin becom person decid   kronosstar pokral,,,
33,33,mbdata,20140123170231,POK,pok leader sylvia market take stage warm welcom crowd,,,
34,34,mbdata,20140123170231,AbilaPost,concern violenc surround pok ralli today heavi polic presenc abilapost,,,
35,35,mbdata,20140123170246,KronosQuoth,it never late might   kronosstar pokral,,,
36,36,mbdata,20140123170246,KronosQuoth,you may fight battl win   pokral hi,,,
37,37,mbdata,20140123170246,KronosQuoth,in order succeed desir success greater fear failur   kronosstar pokral,,,
38,38,mbdata,20140123170246,KronosQuoth,if want children turn well spend twice much time half much money   kronosstar pokral,,,
39,39,mbdata,20140123170300,blueSunshine,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
40,40,mbdata,20140123170300,dtennent,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
41,41,mbdata,20140123170300,BlueVelvet,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
42,42,mbdata,20140123170316,KronosQuoth,it year life count it life year   kronosstar pokral,,,
43,43,mbdata,20140123170316,KronosQuoth,if n't valu time neither other stop give away time talents- start charg   pokral hi,,,
44,44,mbdata,20140123170331,klingon4real,rt @abilapost concern violenc surround pok ralli today heavi polic presenc abilapost,,,
45,45,mbdata,20140123170338,KronosQuoth,if n't valu time neither other stop give away time talents- start charg   pokral hi,,,
46,46,mbdata,20140123170344,POK,sylvia marek introduc guest,,,
47,47,mbdata,20140123170344,CentralBulletin,pok ralli today abila citi park concern violenc heavi polic presenc abila centralbulletin,,,
48,48,mbdata,20140123170344,choconibbs,marek terrorist introduc terrorist pokral,,,
49,49,mbdata,20140123170344,FriendsOfKronos,long pok terrorist start destroy park,,,
50,50,mbdata,20140123170400,sarajane,rt @abilapost pok ralli set take place abila citi park pok leader sylvia marek begun open remark abilapost,,,
51,51,mbdata,20140123170400,wiseWords,rt @ourcountryourright pok ralli park tonight pokral,,,
52,52,mbdata,20140123170403,KronosQuoth,the secret univers depend intrins timeless pokral hi,,,
53,53,mbdata,20140123170433,KronosQuoth,the function leadership produc leader follow   pokral hi,,,
54,54,mbdata,20140123170444,phantomagate,rt @centralbulletin pok ralli today abila citi park concern violenc heavi polic presenc abila centralbulletin,,,
55,55,mbdata,20140123170459,KronosQuoth,it 's look matter 's see   pokral hi,,,
56,56,mbdata,20140123170459,KronosQuoth,if n't valu time neither other stop give away time talents- start charg   pokral hi,,,
57,57,mbdata,20140123170513,Viktor-E,meet band show tonight,,,
58,58,mbdata,20140123170513,ourcountryourrights,sylvia marek open welcom remark pok,,,
59,59,ccdata,20140123170513,,park check,,,2099 Sannan Pky
60,60,mbdata,20140123170519,KronosQuoth,whatev dream begin   bold genius power magic   kronosstar pokral,,,
61,61,mbdata,20140123170531,teresaJ,rt @pok pok leader sylvia market take stage warm welcom crowd,,,
62,62,mbdata,20140123170531,microBanana,rt @abilapost concern violenc surround pok ralli today heavi polic presenc abilapost,,,
63,63,mbdata,20140123170531,siliconKing,rt @abilapost concern violenc surround pok ralli today heavi polic presenc abilapost,,,
64,64,mbdata,20140123170543,KronosQuoth,when doubt punt   kronosstar pokral,,,
65,65,mbdata,20140123170544,dtennent,rt @centralbulletin pok ralli today abila citi park concern violenc heavi polic presenc abila centralbulletin,,,
66,66,mbdata,20140123170544,vetsRock,rt @centralbulletin pok ralli today abila citi park concern violenc heavi polic presenc abila centralbulletin,,,
67,67,mbdata,20140123170603,KronosQuoth,success walk failur failur loss enthusiasm   pokral hi,,,
68,68,mbdata,20140123170633,KronosQuoth,success sum small effort repeat day day   pokral hi,,,
69,69,mbdata,20140123170644,wireHead1122,rt @centralbulletin pok ralli today abila citi park concern violenc heavi polic presenc abila centralbulletin,,,
70,70,mbdata,20140123170644,wireHead1122,rt @centralbulletin pok ralli today abila citi park concern violenc heavi polic presenc abila centralbulletin,,,
71,71,mbdata,20140123170659,mainman447,easi credit card get re worth easycredit.kronos/morecredit abila nobank,,,
72,72,mbdata,20140123170659,KronosQuoth,real difficulti overcom imaginari one unconquer   pokral hi,,,
73,73,mbdata,20140123170659,KronosQuoth,success walk failur failur loss enthusiasm   pokral hi,,,
74,74,mbdata,20140123170659,KronosQuoth,there two type peopl tell make differ world pokral hi,,,
75,75,mbdata,20140123170724,KronosQuoth,either run day day run   kronosstar pokral,,,
76,76,mbdata,20140123170724,KronosQuoth,teach thi tongu say i know thous shalt progress   kronosstar pokral,,,
77,77,mbdata,20140123170724,KronosQuoth,just caterpillar thought world end turn butterfli   pokral hi,,,
78,78,mbdata,20140123170744,blueSunshine,rt @centralbulletin pok ralli today abila citi park concern violenc heavi polic presenc abila centralbulletin,,,
79,79,mbdata,20140123170748,KronosQuoth,peopl often say motiv nt last well neither bath   that recommend daili   kronosstar pokral,,,
80,80,mbdata,20140123170748,grassGreeener,this nut i swear i 'm get 100s follow program check followers.kronos/getpeopl abila follow,,,
81,81,mbdata,20140123170748,dealsRUs101,"gain 1,000 follow week use getem.kronos/follow abilafinest followm",,,
82,82,mbdata,20140123170813,luvMyPants,rt @viktor e meet band show tonight,,,
83,83,mbdata,20140123170815,KronosQuoth,a person never made mistak never tri anyth new   kronosstar pokral,,,
84,84,mbdata,20140123170815,KronosQuoth,life 10 happen 90 i react   kronosstar pokral,,,
85,85,mbdata,20140123170815,Clevvah4Evah,you got low self coincid pok ralli grammar,,,
86,86,mbdata,20140123170839,Clevvah4Evah,i would like return complement pok ralli grammar,,,
87,87,mbdata,20140123170839,KronosQuoth,i learn year one mind made diminish fear   kronosstar pokral,,,
88,88,mbdata,20140123170901,KronosQuoth,your time limit nt wast live someon els life   kronosstar pokral,,,
89,89,mbdata,20140123170901,KronosQuoth,as look ahead next centuri leader empow other   pokral hi,,,
90,90,mbdata,20140123170901,KronosQuoth,life make alway alway   kronosstar pokral,,,
91,91,mbdata,20140123170913,brain448,rt @ourcountryourright sylvia marek open welcom remark pok,,,
92,92,mbdata,20140123170932,KronosQuoth,trust will accept risk 's safe certain   pokral hi,,,
93,93,mbdata,20140123170932,KronosQuoth,knowledg awar wisdom know   pokral hi,,,
94,94,mbdata,20140123170932,Clevvah4Evah,gastech said would give bonus pok ralli grammar,,,
95,95,mbdata,20140123171000,powercrystals,join us ralli race weekend ralli,,,
96,96,mbdata,20140123171000,POK,show support pok join us park pokrallyinthepark,,,
97,97,mbdata,20140123171000,maha_Homeland,warm welcom sylvia marek guest speaker today 's ralli,,,
98,98,mbdata,20140123171000,Viktor-E,follow us @viktor e,,,
99,99,mbdata,20140123171000,KronosStar,apd close egeou st. � parla pilau pok rally. � busi area advis close earli prepar possibl riot � kronosstar,,,
100,100,mbdata,20140123171000,InternationalNews,pok ralli start abila citi park pok leader sylvia marek open speech � intnew,,,
101,101,mbdata,20140123171000,AbilaPost,apd close egeou st parla st pilau st due pok ralli abilapost,,,
102,102,mbdata,20140123171000,choconibbs,love word ugli person pokral,,,
103,103,mbdata,20140123171000,anaregents,sylvia marek speaking. � she 's inspirational! � #pokral,,,
104,104,mbdata,20140123171000,ourcountryourrights,look like tonight agenda talk less action pok,,,
105,105,mbdata,20140123171000,truccotrucco,ralli time readi inspir pok,36.052,24.852,
106,106,mbdata,20140123171000,michelleR,case anyon wonder lime green yellow not suitabl spandex,,,
107,107,mbdata,20140123171002,KronosQuoth,i find real interest life curious life sleep import thing   pokral hi,,,
108,108,mbdata,20140123171002,Clevvah4Evah,gastech said would give bonus pok ralli grammar,,,
109,109,mbdata,20140123171002,KronosQuoth,there chanc destini fate hinder control firm resolv determin soul   pokral hi,,,
110,110,mbdata,20140123171002,KronosQuoth,you becom believ   kronosstar pokral,,,
111,111,mbdata,20140123171022,KronosQuoth,if will risk usual settl ordinari   pokral hi,,,
112,112,mbdata,20140123171022,KronosQuoth,if want achiev excel get today as second quit less excel work   pokral hi,,,
113,113,mbdata,20140123171022,junkman995,r famous haha   badprofiles.kronos/tacki    abila pictur,,,
114,114,mbdata,20140123171022,reggierockin776,i recommend site abila dates.kronos/clickher,,,
115,115,mbdata,20140123171050,KronosQuoth,just caterpillar thought world end turn butterfli   pokral hi,,,
116,116,mbdata,20140123171050,KronosQuoth,you anyth everyth   pokral hi,,,
117,117,mbdata,20140123171050,KronosQuoth,if genuin want someth n't wait teach impati   pokral hi,,,
118,118,mbdata,20140123171100,wireHead1122,rt @internationalnew pok ralli start abila citi park pok leader sylvia marek open speech � intnew,,,
119,119,mbdata,20140123171100,rnbwBrite,rt @choconibb love word ugli person pokral,,,
