,type,date(yyyyMMddHHmmss),author,message,latitude,longitude, location
0,ccdata,20140123200100,,traffic stop,,, N. Polvo St / Egeou Ave
1,mbdata,20140123200100,dealsRUs101,easi credit card get re worth easycredit.kronos/morecredit abila nobank,,,
2,mbdata,20140123200111,FriendsOfKronos,apd stop terrorist cut hostag head pok,,,
3,mbdata,20140123200111,megaMan,@ben i n't see anyon van said tag,,,
4,mbdata,20140123200111,prettyRain,is anyon go help us,,,
5,mbdata,20140123200111,roger_roger,n't want seen,,,
6,mbdata,20140123200124,maskedWoman101,"gain 1,000 follow week use getem.kronos/follow abilafinest followm",,,
7,mbdata,20140123200124,KronosQuoth,a real entrepreneur somebodi safeti net underneath   pokral hi,,,
8,mbdata,20140123200155,KronosQuoth,whether think think ca nt right   kronosstar pokral,,,
9,mbdata,20140123200155,KronosQuoth,the start point achiev desir   pokral hi,,,
10,mbdata,20140123200155,deals4realz,artist musician need follow click   followme.kronos/artist abila artist,,,
11,mbdata,20140123200155,KronosQuoth,success entrepreneur giver taker posit energi   pokral hi,,,
12,mbdata,20140123200157,megaMan,see someon talk van guy anyon van still tag,,,
13,mbdata,20140123200157,HomelandIlluminations,swat team appear taken command,,,
14,mbdata,20140123200222,KronosQuoth,you measur size accomplish obstacl overcom reach goal   pokral hi,,,
15,mbdata,20140123200222,Clevvah4Evah,my hand hurt i think i carpet tunnel pok ralli grammar,,,
16,mbdata,20140123200245,skinnyJeans,i recommend site abila dates.kronos/clickher,,,
17,mbdata,20140123200245,Clevvah4Evah,that bad i carpool tunnel pok ralli grammar,,,
18,mbdata,20140123200245,dealsRUs101,hi i advis visit link hottips.kronos/trad abila,,,
19,mbdata,20140123200257,brain448,rt @homelandillumin swat team appear taken command,,,
20,mbdata,20140123200257,henri,rt @homelandillumin swat team appear taken command,,,
21,mbdata,20140123200307,KronosQuoth,there traffic jam along extra mile   kronosstar pokral,,,
22,mbdata,20140123200328,junkieduck113,how 's credit rate need boost fixit.kronos/creditr abila badcredit,,,
23,mbdata,20140123200328,KronosQuoth,you ca n't connect dot look forward connect look backward pokral hi,,,
24,mbdata,20140123200332,aaasTech,meet hospit support fund rais plan abila hospit,,,
25,mbdata,20140123200332,protoGuy,i see?som swat dude set top build,,,
26,mbdata,20140123200332,megaMan,thank new follow   i fair safe   polic work crowd street tag,,,
27,mbdata,20140123200332,joyousNoise,pleas pray safe releas hostag,,,
28,mbdata,20140123200332,NewsOnlineToday,swat team appear command abila,,,
29,mbdata,20140123200332,AbilaPoliceDepartment,a polic offic injur ithaki incid report stabl condit apd,,,
30,mbdata,20140123200332,roger_roger,re floor manag block back door,,,
31,mbdata,20140123200348,KronosQuoth,the first step toward success taken refus captiv environ first find   pokral hi,,,
32,mbdata,20140123200348,KronosQuoth,you ca nt fall nt climb   but joy live whole life ground   kronosstar pokral,,,
33,mbdata,20140123200348,Clevvah4Evah,what number pin number pok ralli grammar,,,
34,mbdata,20140123200348,KronosQuoth,chang thought chang world   kronosstar pokral,,,
35,mbdata,20140123200357,rrWine,rt @homelandillumin swat team appear taken command,,,
36,mbdata,20140123200357,dtennent,rt @homelandillumin swat team appear taken command,,,
37,mbdata,20140123200411,rnbwBrite,rt @friendsofkrono apd stop terrorist cut hostag head pok,,,
38,mbdata,20140123200411,lordWally,rt @prettyrain is anyon go help us,,,
39,mbdata,20140123200416,KronosQuoth,it place world life go make life want live   kronosstar pokral,,,
40,mbdata,20140123200416,KronosQuoth,fortun side dare   pokral hi,,,
41,mbdata,20140123200416,Clevvah4Evah,what number pin number pok ralli grammar,,,
42,mbdata,20140123200416,KronosQuoth,the way great work love   kronosstar pokral,,,
43,mbdata,20140123200441,KronosQuoth,we becom think time 's strangest secret   pokral hi,,,
44,mbdata,20140123200441,carjunkers,easi credit card get re worth easycredit.kronos/morecredit abila nobank,,,
45,mbdata,20140123200441,KronosQuoth,in experi one motiv desir no reason principl contain stand   pokral hi,,,
46,mbdata,20140123200441,cminvestments11,free ith contest click contest.kronos/freeith   abila ith,,,
47,mbdata,20140123200457,courage4life,rt @homelandillumin swat team appear taken command,,,
48,mbdata,20140123200457,slamrjamr,rt @homelandillumin swat team appear taken command,,,
49,mbdata,20140123200457,BlueVelvet,rt @homelandillumin swat team appear taken command,,,
50,mbdata,20140123200500,KronosStar,an injur firefight pull build kronosstar dancingdolphinfir afdhero,,,
51,mbdata,20140123200500,AbilaPost,injur firefight pull flame afd abilapost,,,
52,mbdata,20140123200500,dangermice,they put ambul hurtfirefight abilafir,36.059,24.894,
53,mbdata,20140123200500,martaO,stoodup i ll die alon n childless,,,
