,tweet,time
0,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,2014-01-23T17:01:00
1,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,2014-01-23T17:02:00
2,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,2014-01-23T17:02:00
3,"RT @MindOfKronos Ugh, these POKers are anooying! #POK #gowaway",2014-01-23T17:02:00
4,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,2014-01-23T17:03:00
5,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,2014-01-23T17:03:00
6,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,2014-01-23T17:03:00
7,RT @AbilaPost Concerns of violence surround POK rally today heavy police presence #AbilaPost,2014-01-23T17:03:31
8,RT @AbilaPost POK rally set to take place in Abila City Park - POK leader Sylvia Marek has begun with opening remarks #AbilaPost,2014-01-23T17:04:00
9,RT @ourcountryourrights POK rally in the park tonight! #POKrally,2014-01-23T17:04:00
10,RT @CentralBulletin POK rally today in Abila City Park concerns of violence and heavy police presence #Abila #CentralBulletin,2014-01-23T17:04:44
11,RT @POK POK leader Sylvia Market taking the stage for a warm welcome to the crowd,2014-01-23T17:05:31
12,RT @AbilaPost Concerns of violence surround POK rally today heavy police presence #AbilaPost,2014-01-23T17:05:31
13,RT @AbilaPost Concerns of violence surround POK rally today heavy police presence #AbilaPost,2014-01-23T17:05:31
14,RT @CentralBulletin POK rally today in Abila City Park concerns of violence and heavy police presence #Abila #CentralBulletin,2014-01-23T17:05:44
15,RT @CentralBulletin POK rally today in Abila City Park concerns of violence and heavy police presence #Abila #CentralBulletin,2014-01-23T17:05:44
16,RT @CentralBulletin POK rally today in Abila City Park concerns of violence and heavy police presence #Abila #CentralBulletin,2014-01-23T17:06:44
17,RT @CentralBulletin POK rally today in Abila City Park concerns of violence and heavy police presence #Abila #CentralBulletin,2014-01-23T17:06:44
18,RT @CentralBulletin POK rally today in Abila City Park concerns of violence and heavy police presence #Abila #CentralBulletin,2014-01-23T17:07:44
19,RT @Viktor-E Meet the band after the show tonight!,2014-01-23T17:08:13
20,RT @ourcountryourrights Sylvia Marek opens with welcoming remarks. #POK,2014-01-23T17:09:13
21,RT @InternationalNews POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech.� #IntNews,2014-01-23T17:11:00
22,RT @choconibbs Lovely words - ugly person #POKRally,2014-01-23T17:11:00
23,RT @POK Show your support for the POK! Join us at the park! #POKRallyinthePark,2014-01-23T17:12:00
24,RT @AbilaPost POK rally expected to draw in excess of 1000 people #AbilaPost,2014-01-23T17:12:53
25,RT @AbilaPost POK rally expected to draw in excess of 1000 people #AbilaPost,2014-01-23T17:12:53
26,RT @FriendsOfKronos another POK riot waiting to happend,2014-01-23T17:12:59
27,RT @maha_Homeland Warm welcome by Sylvia Marek for guest speakers for today's rally.,2014-01-23T17:13:00
28,RT @Viktor-E Follow us @Viktor-E,2014-01-23T17:13:00
29,RT @InternationalNews POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech.� #IntNews,2014-01-23T17:13:00
30,RT @InternationalNews POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech.� #IntNews,2014-01-23T17:13:00
31,RT @truccotrucco rally time! ready for some inspiration #POK,2014-01-23T17:13:00
32,"RT @POK Special Guest at today's POK Rally in the Park is Dr. Audrey McConnell Newman, award-winnign activist and conservationist",2014-01-23T17:13:02
33,RT @AbilaPost POK rally expected to draw in excess of 1000 people #AbilaPost,2014-01-23T17:13:53
34,RT @powercrystals Join us for Rally Racing this weekend #rally,2014-01-23T17:14:00
35,RT @InternationalNews POK rally to start in Abila City Park. POK leader Sylvia Marek to open with a speech.� #IntNews,2014-01-23T17:14:00
36,RT @AbilaPost Special guest Dr. Audrey McConnel Newman will be speaking along with Lucio Jakab and Professor Lorenzo Di Stefano Viktor-E will be providing music #AbilaPost,2014-01-23T17:14:01
37,RT @POK Also presenting are Professor Lorenzo Di Stefano (UofA) and Lucio Jakab (SOW),2014-01-23T17:14:53
38,RT @AbilaPost POK rally expected to draw in excess of 1000 people #AbilaPost,2014-01-23T17:14:53
39,RT @AbilaPost POK rally expected to draw in excess of 1000 people #AbilaPost,2014-01-23T17:14:53
40,RT @POK Music povided by Abila's hometown favorite Viktor-E,2014-01-23T17:14:59
41,RT @AbilaPost Special guest Dr. Audrey McConnel Newman will be speaking along with Lucio Jakab and Professor Lorenzo Di Stefano Viktor-E will be providing music #AbilaPost,2014-01-23T17:15:01
42,RT @AbilaPost Special guest Dr. Audrey McConnel Newman will be speaking along with Lucio Jakab and Professor Lorenzo Di Stefano Viktor-E will be providing music #AbilaPost,2014-01-23T17:15:01
43,RT @AbilaPost POK rally expected to draw in excess of 1000 people #AbilaPost,2014-01-23T17:15:53
44,RT @AbilaPost POK rally expected to draw in excess of 1000 people #AbilaPost,2014-01-23T17:15:53
45,RT @AbilaPost POK rally expected to draw in excess of 1000 people #AbilaPost,2014-01-23T17:15:53
46,"RT @choconibbs ""Dr Death and Lucio Anarchy"""" #POKlove""""",2014-01-23T17:15:53
47,RT @AbilaPost Special guest Dr. Audrey McConnel Newman will be speaking along with Lucio Jakab and Professor Lorenzo Di Stefano Viktor-E will be providing music #AbilaPost,2014-01-23T17:16:01
48,RT @AbilaPost Special guest Dr. Audrey McConnel Newman will be speaking along with Lucio Jakab and Professor Lorenzo Di Stefano Viktor-E will be providing music #AbilaPost,2014-01-23T17:16:01
49,RT @AbilaPost Special guest Dr. Audrey McConnel Newman will be speaking along with Lucio Jakab and Professor Lorenzo Di Stefano Viktor-E will be providing music #AbilaPost,2014-01-23T17:17:01
50,RT @AbilaPost Special guest Dr. Audrey McConnel Newman will be speaking along with Lucio Jakab and Professor Lorenzo Di Stefano Viktor-E will be providing music #AbilaPost,2014-01-23T17:17:01
51,RT @AbilaPost Special guest Dr. Audrey McConnel Newman will be speaking along with Lucio Jakab and Professor Lorenzo Di Stefano Viktor-E will be providing music #AbilaPost,2014-01-23T17:17:01
52,"RT @choconibbs POK trying to give an aura of cred - while kidnapping, extorting",2014-01-23T17:17:01
53,RT @Officia1AbilaPost Missing #Gastech employees found safe - on exotic vacation. smush.com.kronos/154xu5xi,2014-01-23T17:17:01
54,RT @truccotrucco Sylvia rocks! you go girl #POKRally,2014-01-23T17:18:00
55,RT @FriendsOfKronos what legitimate speaker would ally themself with POK,2014-01-23T17:18:47
56,RT @Viktor-E Bert Hanns: We are so very happy to be a part of this day of Peace and Love at Abila City Park.,2014-01-23T17:19:00
57,RT @choconibbs Blather-blather-blather #Lucio #POKRally,2014-01-23T17:20:00
58,RT @MindOfKronos What do we want? All the lame chanters out of the park. When do we want it? NOW,2014-01-23T17:20:00
59,RT @ourcountryourrights The cops look scared cuz they know they serve corrupt masters #POK,2014-01-23T17:20:33
60,RT @truccotrucco gotta be 3000 people here! #POK is strong,2014-01-23T17:21:00
61,RT @hempRules people r mean #trylove,2014-01-23T17:21:33
62,RT @POK Lucio quotes Albert Einstein to look into nature and you will understand everything better,2014-01-23T17:22:00
63,RT @anaregents cops are everywhere tonite i hop etheres no trouble,2014-01-23T17:22:00
